title,title_matched,authors,authors_matched,date,date_matched,isbn,isbn_matched,pages,pages_matched,description,description_matched,publisher,publisher_matched,keywords,keywords_matched,binding,barcode,value,status,image,percent,source
The last days of Hitler,The Last Days of Hitler,Anton Joachimsthaler,Anton Joachimsthaler,1999,1999,186019902X,"186019902X, 9781860199028",,320,Translated by Helmut Bogler,"The final weeks of his life saw Hitler in a deteriorating mental state, physical ill health and a liability to fits of gross irrationality, and these conditions served to shroud his demise on controversy and myth. The author has delved into unprecedented depths of research and investigation to achieve a defining story of the events of April 1945. He is able to discount many false theories, strengthen certain assumptions and establish an account that can dispel the doubts. He assesses the the views of witnesses but makes no use of hearsay evidence. He takes into consideration the different concerns that may have influenced the reports of German, Allied and Russian personnel who were close to the bunker before or just after Hitler's death and notes the secrecy and deviousness which has protected evidence for over half a century.",Brockhampton Press,,History/Politics,"Berlin, Battle of, Berlin, Germany, 1945",,101755,,Lending,,101,ISBN
Lucy: The Beginnings of Humankind,Lucy,Maitland Donald & Edey Johanson,"Donald C. Johanson, Maitland Armstrong Edey",1990,1990,0140139354,"0140139354, 9780140139358",413,413,,"Eleven-year-old Ian and his father, a Vietnam veteran, have been homeless for several years. Now his father has found the perfect place for them, the vast, old, now unused city courthouse. As a historic monument, it is kept heated and has lots of bathrooms and a variety of exits, and entrances. Then Ian's father fails to return one night, and Ian discovers that a local museum is going to put on a six-week exhibit of kites from around the world in one of the largest courtrooms. As the kites arrive and the exhibit is mounted, Ian is increasingly fascinated by what he sees when no one is there and what he overhears. The kites are beautiful -- extraordinary, imaginative, and varied. Because he reads all the books on kites that are there, Ian becomes quite an expert. At length he bluffs his way into being accepted as a very bright and knowledgeable boy who can, when the exhibit opens, take groups of schoolchildren around.Ian's precarious survival on his own, following all the precautions his father has taught him, makes absorbing reading in this highly unusual, realistic story of a closely knit, remarkably independent father and son by the author of the 1996 Newbery Honor winner, Yolonda's Genius.",Penguin Books,,Anthropology,Australopithecus afarensis,Paperback,104787,,Lending,http://books.google.com/books/content?id=cBtlPgAACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,101,ISBN
The Atheist Debater's Handbook,The Atheist Debater's Handbook,B C Johnson,B. C. Johnson,1983,1983,0879752106,"0879752106, 9780879752101",134,0,,"This handbook is an attempt to offer a concise set of rejoinders for use by atheists in their formal (and informal) debates with theists. Older, more traditional, arguments are included as well as original arguments. The result is a short book, yet one that contains an unrelenting presentation of argument and analysis. For some time now atheists have been in need of firm grounds upon which to base their position. This handbook offers them this foundation.",Prometheus Books,,Atheism,Atheism,Paperback,101763,,Lending,http://books.google.com/books/content?id=RctIJQAACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,101,ISBN
Dr Johnson's Dictionary,JOHNSON'S DICTIONARY: AN ANTHOLOGY; ED. BY DAVID CRYSTAL.,Dr Johnson,Samuel Johnson,2005,2005,0713998873,0713998873,,650,,,Penguin Press,PENGUIN BOOKS,Etymology Sociology,,,101764,,Lending,https://covers.openlibrary.org/b/id/12622579-S.jpg,101,ISBN
How Different Religions View Death and Afterlife,How Different Religions View Death and Afterlife,Marsha G. (Eds.) Christopher Jay and McGee Johnson,"Christopher Jay Johnson, Marsha G. McGee",1991,1986,0914783556,"0914783556, 9780914783558",354,352,,"This book presents an objective, thoughtful and practical explanation of the often-complicated subjects of death and afterlife. Offering a clear, concise and comparative overview of the teachings and the death beliefs of 19 different religions, this popular book will be of enormous value to all readers who would like to obtain a better understanding of the various ways in which different faiths understand death and what happens afterward. Unlike many books on the subject of religious beliefs, the discourse here is refreshingly objective and entirely non-proselytizing. Furthermore, each chapter is written by a different expert or scholar who is internationally recognized as an authority on a particular faith. This book will be welcomed by theologians, healthcare professionals, clergy and chaplains of all religious traditions, teachers and students of comparative religion and death and dying, social workers, grief and pastoral counselors and funeral directors.",The Charles Press Publishers,Charles Press Pubs(PA),Religion / Afterlife,Death,Paperback,104803,15,Lending,http://books.google.com/books/content?id=BqsrNAAACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,101,ISBN
From Housewife to Heretic,From housewife to heretic,Sonja Johnson,Sonia Johnson,1981,1981,0385174934,0385174934,406,406,,,Doubleday & Co,Doubleday,Mormonism,,Hardback,103263,,Lending,https://covers.openlibrary.org/b/id/7139787-S.jpg,101,ISBN
Rudolf Bultmann: Interpreting Faith for the modern era,Rudolf Bultmann,Roger Johnson,"Rudolf Bultmann, Roger A. Johnson",1987,1987,0005999774,"UOM:39015025100846, 0005999774",,360,,,Collins,HarperCollins,Theology,Religion,,101770,,Lending,http://books.google.com/books/content?id=lm3ZAAAAMAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,101,ISBN
The Gnostic Religion,The Gnostic Religion,Hans Johnas,Hans Jonas,1958,2001-01-16,0807058017,"0807058017, 9780807058015",,400,The Message of the alien God and the beginnings of christianity,The Message of the Alien God and the Beginnings of Christianity,Beacon Press,Beacon Press,Gnosticism,Religion,,100977,,Lending,http://books.google.com/books/content?id=lXM0pd6oaKsC&printsec=frontcover&img=1&zoom=1&source=gbs_api,101,ISBN
Almost Like a Whale: The Origin of Species Updated,Almost like a whale,Steve Jones,"Jones, Steve",1999,2000,1862300259,1862300259,499,499,,"""The origin of species"" updated",Anchor,Anchor,Biology,,Paperback,104670,29,Lending,https://covers.openlibrary.org/b/id/10728604-S.jpg,101,ISBN
"In the Blood: God, Genes and Destiny",In the Blood,Steve Jones,Steve Jones,1996,"May 9, 1996",0002555115,0002555115,,300,,,Harper Collins,HarperCollins Publishers Ltd,Biology,,,102636,,Lending,https://covers.openlibrary.org/b/id/1733-S.jpg,101,ISBN
The Jesus Scroll,The Jesus scroll,D. Joyce,Donovan Joyce,1973,1973,0207955514,0207955514,216,216,,a time bomb for Christianity?,"Angus & Robertson, London",Angus and Robertson,Archaeology,,Hardback,101778,,Lending,,101,ISBN
"Four Archetypes: Mother, Rebirth, Spirit, Trickster",Four Archetypes,C. G. Jung,Carl Gustav Jung,1986,1986,074480034X,"074480034X, 9780744800340",,173,,"A central concept of Jung's psychology, the archetype can be expressed in many ways: in primitive tribal lore; in myth and fairytale; in dreams and visions. The essays in this book describe four specific archetypes.",Ark Paperbacks,Routledge,Psychology,Archetype (Psychology),,104891,,Lending,,101,ISBN
God as the mystery of the world,God as the Mystery of the World,Eberhard Jungel,Eberhard Jüngel,1983,1983-01-01,0802835864,"0802835864, 9780802835864",,414,One the foundation of the theology of the crucified one in the dispute between theism and atheism,,William B. Eerdmans,William B. Eerdmans Publishing Company,Theology,God,,106545,,Lending,,101,ISBN
The Burning Times,Burning Times,Jeanne Kalogridis,Jeanne Kalogridis,2001,2001,0002259923,0002259923,385,,,,Harper Collins,HarperCollins Publishers Limited,Fiction,,Paperback,101794,,Lending,,101,ISBN
The Cult at the End of the World,The Cult at the End of the World,A. Marshall D. E Kaplan,"David E. Kaplan, Andrew Marshall",1997,1996,0099728516,"0099728516, 9780099728511",310,310,,,Arrow Books,Vintage,Cults,Armageddon,Paperback,101798,,Lending,,101,ISBN
The Gospel of Judas,The Gospel of Judas,"R. Kasser, M.  Meyer, G.  Wurst","Rodolphe Kasser, Marvin W. Meyer, Gregor Wurst",2006,2008,9781426200489,"142620048X, 9781426200489",,228,Second Edition,A comprehensive commentary on the ancient document containing what some scholars believe to be a lost gospel told from the perspective of Judas Iscariot.,National Geographic Society,National Geographic Books,Christianity,Religion,,104250,,Lending,http://books.google.com/books/content?id=-xVK_hJouWwC&printsec=frontcover&img=1&zoom=1&source=gbs_api,101,ISBN
The Ways of an Atheist,The Ways of an Atheist,Bernard Katz,Bernard Katz,1999,1999,1573922730,"1573922730, 9781573922739",152,0,,No Marketing Blurb,Prometheus Books,,Atheism,Religion,Paperback,106548,,Lending,http://books.google.com/books/content?id=uRUKAAAACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,101,ISBN
Messianic Revolution: Radical Religious Politics to the End of the Second Millenium,Messianic Revolution,Richard H. David S. and Popkin Katz,"David S. Katz, Richard Henry Popkin",1998,1999,0713993839,"0713993839, 9780713993837",303,303,,,Allen Lane,"Lane, Allen",Religion / Politcs,Messianism,Hardback,104827,37.5,Lending,,101,ISBN
At Home in the Universe: The Search for Laws of Complexity,At Home in the Universe,Stuart Kauffman,Stuart A. Kauffman,1995,1996,0140174141,"0140174141, 9780140174144",321,321,,"Complexity theory is one of the most controversial areas of current scientific research. Developing out of chaos theory, complexity suggests that there are hidden tendencies in nature to select ordered states, even when statistically they are vastly outnumbered by chaotic possibilities: that there is a deep natural impulse towards order, counteracting the degenerative tendencies of the Second Law of Thermodynamics. Like chaos, complexity is a multidisciplinary area of research and those involved include physicists, economists and biologists.",Penguin Books,,Science / Physics,Chaotic behavior in systems,Paperback,102882,9.9,Lending,http://books.google.com/books/content?id=qBbAQgAACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,101,ISBN
The Theological Imagination,The Theological Imagination,Gordon Kauffman,Gordon D. Kaufman,1981,1981-01-01,0664243932,"0664243932, 9780664243937",,316,Constructing the Concept of god,"In this challenging work, Gordon Kaufman asserts that the prime task of theology is the imaginative construction of the doctrine of God. Kaufman maintains that both the absoluteness of the divinity and our own necessity demand that we construct the doctrine of God critically and in a manner appropriate to our own time and place. In thorough examinations of God and theology, Christ and christology, and of the ultimate foundations of religious thought, he shows how this construction can be accomplished faithfully and in full realization of our own humanity.",Westminster PressU S A,Westminster John Knox Press,Theology /,Religion,,101801,,Lending,http://books.google.com/books/content?id=l7sVludPUOkC&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,101,ISBN
An essay on theological method,An Essay on Theological Method,Gordon Kauffman,Gordon D. Kaufman,1975,1979,0891302921,"0891303073, 9780891303077, 0891302921",,100,,,Scholars Press,,Theology,Theology,,104788,,Lending,http://books.google.com/books/content?id=K3oz0Mnx6R8C&printsec=frontcover&img=1&zoom=1&source=gbs_api,101,ISBN
The symbolism of the biblical world,The Symbolism of the Biblical World,Othmar Keel,"Othmar Keel, Timothy J. Hallett",1978,1978,0281036616,"0281036616, 9780281036615",,422,Ancient near eastern iconography and the book of psalms,,Seabury Press,,Bible,Art,,101802,,Lending,,101,ISBN
Experiences Near Death: Beyond Medicine and Religion,Experiences near death,Allan Kelliehear,Allan Kellehear,1996,1996,0195091949,0195091949,230,230,,beyond medicine and religion,Oxford University Press,Oxford University Press,Near Death Experiences,,Hardback,101814,30,Lending,https://covers.openlibrary.org/b/id/122689-S.jpg,101,ISBN
The Oxford History of the Popes,American Football: The Records,J N D Kelly,Miles Aiken,1960,1986,0192139649,"0192139649, 9780192139641",347,,,,Oxford University Press,,Popes,Football,Hardback,101822,,Lending,,101,ISBN
Early Christian Doctrines,Early Christian Doctrines,J N D Kelly,John Norman Davidson Kelly,1960,1968,071360915x,"UOM:39015005905701, 071360915x",,526,,On the development of the principal Christian doctrines from the close of the first century to the middle of the fifth century.,A & C Black London,,Theology,"Theology, Doctrinal",,104699,,Lending,http://books.google.com/books/content?id=i_LYAAAAMAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,101,ISBN
The Books of Lost Books: An incomplete history of all the great books you will never read,The Book of Lost Books,Stuart Kelly,Stuart Kelly,2005,2005,0670914991,"0670914991, 9780670914999",,0,,"Beginning with the earliest hominids, 'The Book of Lost Books' traces various pieces of literature which, for a variety of reasons, cannot be read. Each entry describes the reasons for the loss - it may have been destroyed, or left incomplete at the time of the author's death.",Viking,,Books / Reading,Authors,,104829,,Lending,http://books.google.com/books/content?id=Vi6KtQEACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,101,ISBN
"In God's Country: Travels in the Bible Belt, USA",In God's country,Douglas Kennedy,Douglas Kennedy,1996,1996,034910719X,034910719X,240,240,,"travels in the Bible belt, USA",,Abacus,Fundamentalism,,Paperback,106504,,Lending,https://covers.openlibrary.org/b/id/212787-S.jpg,101,ISBN
Eve was Framed: Women and British Justice,Eve was Framed,Helena Kennedy,Helena Kennedy,1993,1993,0099224410,"9780099224419, 0099224410",285,322,,"This is a highly personal criticism of the British legal system, its courts, its judges and its procedures. It takes women as the key example, showing how they have been adversely affected by images of women held by both lawyers and jurors, and discussing recent debates and cases such as the Sara Thornton case and the Kennedy rape trial, as well as the lesser-known daily business of the courts.",Vintage Books,Random House,Law / Women,Female offenders,Paperback,103278,24.95,Lending,http://books.google.com/books/content?id=LFFlyF8VgrIC&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,101,ISBN
What's All This Monkey Business?: Scientific Creation VS. Humanistic Evolution,What's All this Monkey Business?,"Phyllis & Kester, Kester","Phyllis Kester, Monty Kester",1981,1981,0892210869,"0892210869, 9780892210862",104,116,,,New Leaf Press,,Creation / Evolution,Science,Paperback,104577,,Lending,http://books.google.com/books/content?id=-1LqndoIonQC&printsec=frontcover&img=1&zoom=1&source=gbs_api,101,ISBN
Prescription Medicine: The Goodness of Planned Death,Prescription Medicide,Jack Kevorkian,Jack Kevorkian,1991,September 1993,0879758724,0879758724,268,268,,The Goodness of Planned Death,Prometheus Books,Prometheus Books,Euthanasia,,Paperback,104578,34.95,Lending,https://covers.openlibrary.org/b/id/1634625-S.jpg,101,ISBN
One of the Boys? Changing views of masculinity in New Zealand,One of the boys?,Michael King,,1988,1988,0868634255,0868634255,,255,Edited by Michael King,changing views of masculinity in New Zealand,Heinemann Publishers,Heinemann,Culture / New Zealand,,,106146,,Lending,,101,ISBN
Historica: 1000 years of our lives and times,Historica,Jonathan King,Jonathan King,2006,2006,0733317782,"0733317782, 9780733317781",,576,,"Historica shows the evolution of people's lives over the last thousand years and shows how dramatically the world has changed. It tells the story of the wars, invasions, inventions, discoveries, exploration and the amazing people who played a key part in all these events that have brought the world, and Australia, to where we are today. Examining the world from the year 1000 to today, Historicais divided into sections based on periods of time. Within each section there are four streams: Milestone Events, the Arts, Science and Lifestyle. timelines allow quick comparison with developments in different parts of the world at the same period. Some favourite quotes: 'My mother is the hardest business man I have ever met' - Henry Lawson 'Never take any notice of anonymous letters unless you get a few thousand on the same subject' - Sir Robert Menzies 'What you can t win on the battlefield you will not win at the conference table' - Norman Gallagher",ABC Books,,History,Civilization,,104253,,Reference,http://books.google.com/books/content?id=qGIhPQAACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,101,ISBN
Mary Shelley Frankenstein,"Frankenstein, Or, the Modern Prometheus","Kinsley James, M.K. Joseph",Mary Wollstonecraft Shelley,1969,1980,019251010X,"OCLC:5492376, 019251010X",,239,,The famous novel on which the movie Frankenstein is based.,Oxford University Press,,Literature,Fiction,,104896,,Lending,,101,ISBN
Something of Myself: For my friends known and unknown,Something of Myself,Rudyard Kipling,Rudyard Kipling,1936,1992,0140185038,"0140185038, 9780140185034",,0,Edited by Robert Hampson with and introduction by Richard Holmes,,Penguin,"Penguin Books, Limited (UK)",Autobiography,"Authors, English",,106455,,Lending,,101,ISBN
A history of the end of the world,A History of the End of the World,Jonathan Kirsch,Jonathan Kirsch,2006,2006-08-22,9780060816988,"9780060816988, 0060816988",,356,,"""[The Book of] Revelation has served as a ""language arsenal"" in a great many of the social, cultural, and political conflicts in Western history. Again and again, Revelation has stirred some dangerous men and women to act out their own private apocalypses. Above all, the moral calculus of Revelation—the demonization of one's enemies, the sanctification of revenge taking, and the notion that history must end in catastrophe—can be detected in some of the worst atrocities and excesses of every age, including our own. For all of these reasons, the rest of us ignore the book of Revelation only at our impoverishment and, more to the point, at our own peril."" The mysterious author of the Book of Revelation (or the Apocalypse, as the last book of the New Testament is also known) never considered that his sermon on the impending end times would last beyond his own life. In fact, he predicted that the destruction of the earth would be witnessed by his contemporaries. Yet Revelation not only outlived its creat∨ this vivid and violent revenge fantasy has played a significant role in the march of Western civilization. Ever since Revelation was first preached as the revealed word of Jesus Christ, it has haunted and inspired hearers and readers alike. The mark of the beast, the Antichrist, 666, the Whore of Babylon, Armageddon, and the Four Horsemen of the Apocalypse are just a few of the images, phrases, and codes that have burned their way into the fabric of our culture. The questions raised go straight to the heart of the human fear of death and obsession with the afterlife. Will we, individually or collectively, ride off to glory, or will we drown in hellfire for all eternity? As those who best manipulate this dark vision learned, which side we fall on is often a matter of life or death. Honed into a weapon in the ongoing culture wars between states, religions, and citizenry, Revelation has significantly altered the course of history. Kirsch, whom the Washington Post calls ""a fine storyteller with a flair for rendering ancient tales relevant and appealing to modern audiences,"" delivers a far-ranging, entertaining, and shocking history of this scandalous book, which was nearly cut from the New Testament. From the fall of the Roman Empire to the Black Death, the Inquisition to the Protestant Reformation, the New World to the rise of the Religious Right, this chronicle of the use and abuse of the Book of Revelation tells the tale of the unfolding of history and the hopes, fears, dreams, and nightmares of all humanity.",Harper San Francisco,Harper Collins,History,History,,106186,,Lending,http://books.google.com/books/content?id=DEOIryG_UDYC&printsec=frontcover&img=1&zoom=1&source=gbs_api,101,ISBN
The Atheist's Bible: an illustrious collection of irrelevant thought,The Atheist's Bible,Joan Konner,Joan Konner,2007,2007-06-12,9780061349157,"0061349151, 9780061349157",,0,,"""All thinking men are atheists,"" Ernest Hemingway famously wrote. True? Here are quips, quotes, and questions from a distinguished assortment of geniuses and jokers, giving readers a chance to decide for themselves.... When I think of all the harm [the bible] has done, I despair of ever writing anything to equal it. Oscar Wilde SAINT, n. A dead sinner revised and edited. Ambrose Bierce There ain't no answer. There ain't going to be any answer. There never has been an answer. That's the answer. Gertrude Stein Do not let yourself be deceived: great intellects are skeptical. Friedrich Nietzsche Millions long for immortality who don't know what to do with themselves on a rainy Sunday afternoon. Susan Ertz God is love, but get it in writing. Gypsy Rose Lee Nothing is at last sacred but the integrity of our own mind. Ralph Waldo Emerson The fact that a believer is happier than a skeptic is no more to the point than the fact that a drunken man is happier than a sober one. George Bernard Shaw",Harper Collins,Ecco,Quotations,Philosophy,,101859,,Lending,http://books.google.com/books/content?id=4BZi0AEACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,101,ISBN
Theology as narration,Theology as Narration,George A.F. Knight,George Angus Fulton Knight,1976,1976,0802834892,"0802834892, 9780802834898",,209,a commentary on the book of exodus,,William B. Eerdmans,,Theology,Bible,,104946,,Lending,http://books.google.com/books/content?id=zJlxQgAACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,101,ISBN
Honest to Man,Honest to man,Margaret Knight,Margaret Kennedy Knight,1974,1974,023631002X,023631002X,213,213,,Christian ethics re-examined,Elek / Pemberton,Elek/Pemberton,Humanism,,Hardback,106338,,Lending,,101,ISBN
Humanist Anthology [Revised Edtn],Humanist anthology,Margaret Knight,,1995,1995,0301940010,0301940010,158,157,,from Confucius to David Attenborough,RPA,Rationalist Press Association,Humanism,,Paperback,106495,,Lending,https://covers.openlibrary.org/b/id/11649235-S.jpg,101,ISBN
Humanist Anthology [Revised Edtn],Humanist anthology,Margaret Knight,,1995,1995,0301940010,0301940010,158,157,,from Confucius to David Attenborough,RPA,Rationalist Press Association,Humanism,,Paperback,101862,,Lending,https://covers.openlibrary.org/b/id/11649235-S.jpg,101,ISBN
The Act of Creation,The Act of Creation,Arthur Koestler,Arthur Koestler,1964,1964,0140191917,"0140191917, 9780140191912",751,756,,"The author examines the idea that we are at our most creative when rational thought is suspended-for example, in dreams and trancelike states.",Arkana,Penguin (Non-Classics),Philosophy,Fiction,Paperback,103286,15,Lending,http://books.google.com/books/content?id=tJC5pDXFY8oC&printsec=frontcover&img=1&zoom=1&source=gbs_api,101,ISBN
The Actual and the Real,The Actual and the Real,Oscar Kollerstrom,Oscar Köllerström,1974,1974,0855000244,"UCAL:B5095532, 0855000244",,226,A way of thinking about the eternity,,Turnstone Books,,Psychology,Religion,,101005,,Lending,http://books.google.com/books/content?id=U6lMAQAAIAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,101,ISBN
Koran Translated from the Arabic by Rev J.M. Rodwell,The Koran,The Koran,John Medows Rodwell,1998,1994,0460874381,"0460874381, 9780460874380",509,509,missing from library,"The Everyman Paperback Classics series offers the latest scholarship on the works of the world's greatest poets, writers and philosophers. Each edition includes a comprehensive introduction, chronology, notes, appendix, critical responses, and a text summary. Presented in an affordable edition with wide format pages for generous margins for notes. Contact your sales rep or call Tuttle for a complete list of available titles.",Everyman,Everyman,Koran,Koran,Hardback,106474,18.95,Lending,http://books.google.com/books/content?id=mwODPwAACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,101,ISBN
Circumcision of Women: A Strategy for Eradication,The Circumcision of Women,Olayinka Koso-Thomas,Olayinka Koso-Thomas,1987,1987-05-15,0862327016,"0862327016, 9780862327019",109,112,,1. Why circumcise women?,Zed Press,Zed Books,Women / Circumcision,Social Science,Paperback,101867,33.95,Lending,http://books.google.com/books/content?id=PGq7QgAACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,101,ISBN
What Is Atheism?,What is Atheism?,Douglas Kreuger,Douglas E. Krueger,1998,1998,1573922145,"1573922145, 9781573922142",241,0,,No Marketing Blurb,Prometheus Books,,Atheism,Atheism,Paperback,101869,,Lending,http://books.google.com/books/content?id=eJcHAAAACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,101,ISBN
The Copernican Revolution: Planetary Astronomy in the Development of Western Thought,The Copernican Revolution,Thomas S Kuhn,Thomas S. Kuhn,1985,1957,0674171039,"0674171039, 9780674171039",297,330,,"An account of the Copernican Revolution, focusing on the significance of the plurality of the revolution which encompassed not only mathematical astronomy, but also conceptual changes in cosmology, physics, philosophy, and religion.",Harvard University Press,Harvard University Press,Philosophy / Science,History,Paperback,103287,,Lending,http://books.google.com/books/content?id=sWScX_aduGMC&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,101,ISBN
"Willing to Listen, Wanting to Die","Willing to listen, wanting to die",Helga (Ed.) Kuhse,,1994,1994,0140237755,0140237755,276,276,,,Penguin Books,Penguin Books,Euthanasia,,Paperback,104255,23.95,Lending,https://covers.openlibrary.org/b/id/13147926-S.jpg,101,ISBN
The foundations of morality,The foundations of morality,Joel J. Kupperman,Joel J. Kupperman,1983,1983,0043701256,0043701256,,162,,,George Allen & Unwin,Allen & Unwin,Morality,,,106465,,Lending,https://covers.openlibrary.org/b/id/10298403-S.jpg,101,ISBN
A Catholic / Humanist Dialogue,A Catholic/humanist Dialogue: Humanists and Roman Catholics in a Common World,A P & Dondeyne Kurtz,"Paul Kurtz, Albert Dondeyne",1972,1972,0879750111,"0879750111, 9780879750114",117,117,,,Pemberton Books & Prometheus Books,,Debate,Catholic Church and humanism,Paperback,101875,,Lending,,101,ISBN
A Catholic / Humanist Dialogue,A Catholic/humanist Dialogue: Humanists and Roman Catholics in a Common World,A P & Dondeyne Kurtz,"Paul Kurtz, Albert Dondeyne",1972,1972,0879750111,"0879750111, 9780879750114",117,117,,,Pemberton Books & Prometheus Books,,Debate,Catholic Church and humanism,Paperback,101872,,Reference,,101,ISBN
Challenges to the Enlightment,Challenges to the Enlightenment,P & Madigan T J Kurtz,Academy of Humanism,1994,1994,0879758694,"UOM:39015026861800, 0879758694",319,332,,"Modern western society, with its democratic institutions and its reliance on science as the basis of technology and industry, is largely an outgrowth of Enlightenment ideals. Yet today the entire Enlightenment agenda is being challenged, not only by members of the religious orthodoxy but also by a group of academics loosely described under the label of ""postmodernism."" Whereas the Enlightenment project has always been at odds with religious orthodoxy, which has traditionally been suspicious of efforts to achieve human progress without supernatural support, today it must deal with a very different type of attack from postmodernist intellectuals.",Prometheis Books,,Science / Philosophy,Philosophy,Hardback,101878,,Lending,http://books.google.com/books/content?id=k7baAAAAMAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,101,ISBN
Affirmations: Joyful and Creative Exuberance,Affirmations,Paul Kurtz,Paul Kurtz,2004,2004,1591022657,1591022657,119,119,,joyful and creative exuberance,Prometheus,Prometheus Books,Humanism,,Paperback,104258,,Lending,https://covers.openlibrary.org/b/id/6889263-S.jpg,101,ISBN
Forbidden Fruit: The Ethics of Humanism,Forbidden Fruit,Paul Kurtz,Paul Kurtz,1988,1988,0879754540,"UOM:39076000803150, 0879754540",266,280,,"Fundamentalists from all religious persuasions deny the possibility of morality without belief in God. Yet belief in God is no guarantee of moral virtue - as the evils committed in the name of religion, past and present, have shown. Are there ethical, nonreligious choices that will work for a world in crisis? In this original and penetrating book, America's leading secular humanist philosopher affirms that it is possible to live the good life and be morally responsible without belief in religion. Kurtz delineates the means by which humanity can transcend the limitations of traditional religious loyalties and achieve a higher stage of ethics. In order to progress to a maximum level of creative development, the author maintains that we must be nourished by the ""forbidden fruit"" of the knowledge of good and evil, grounding principles and values in autonomous reason. This is the path that leads to the discovery of significant ethical truths that can guide both self-reliant conduct and consideration for the rights of others. By breaking the bonds of theistic illusion, we can summon the courage and wisdom to develop a rational ethic based on a realistic appraisal of nature and an awareness of the centrality of the moral decencies common to all peoples. The ultimate key to the good life is to eat of the fruit of the second tree in the Garden of Eden - the tree of life - discovering for ourselves the manifold potentialities for a bountiful existence.",Prometheis Books,,Humanism,Philosophy,Hardback,101881,,Lending,http://books.google.com/books/content?id=w8UlAQAAMAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,101,ISBN
Forbidden Fruit: The Ethics of Humanism,Forbidden Fruit,Paul Kurtz,Paul Kurtz,1988,1988,0879754540,"UOM:39076000803150, 0879754540",266,280,,"Fundamentalists from all religious persuasions deny the possibility of morality without belief in God. Yet belief in God is no guarantee of moral virtue - as the evils committed in the name of religion, past and present, have shown. Are there ethical, nonreligious choices that will work for a world in crisis? In this original and penetrating book, America's leading secular humanist philosopher affirms that it is possible to live the good life and be morally responsible without belief in religion. Kurtz delineates the means by which humanity can transcend the limitations of traditional religious loyalties and achieve a higher stage of ethics. In order to progress to a maximum level of creative development, the author maintains that we must be nourished by the ""forbidden fruit"" of the knowledge of good and evil, grounding principles and values in autonomous reason. This is the path that leads to the discovery of significant ethical truths that can guide both self-reliant conduct and consideration for the rights of others. By breaking the bonds of theistic illusion, we can summon the courage and wisdom to develop a rational ethic based on a realistic appraisal of nature and an awareness of the centrality of the moral decencies common to all peoples. The ultimate key to the good life is to eat of the fruit of the second tree in the Garden of Eden - the tree of life - discovering for ourselves the manifold potentialities for a bountiful existence.",Prometheis Books,,Humanism,Philosophy,Hardback,101883,,Reference,http://books.google.com/books/content?id=w8UlAQAAMAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,101,ISBN
In Defense of Secular Humanism,In Defense of Secular Humanism,Paul Kurtz,Paul Kurtz,1983,1983,0879752211,"UCAL:B4381986, 0879752211",273,292,,"A collection of essays by Paul Kurtz that offer a closely reasoned defense of secular humanism, arguing that ultraconservatives are not simply attacking secular humanism but also the basic tenets of free society and explaining the benefits of secular humanism in the modern world.",Prometheis Books,,Humanism,Philosophy,Hardback,101882,,Lending,http://books.google.com/books/content?id=HKCwAAAAIAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,101,ISBN
The New Skepticism,The new skepticism,Paul Kurtz,Paul Kurtz,1992,1992,0879757663,0879757663,371,371,,inquiry and reliable knowledge,Prometheis Books,Prometheus Books,Philosophy,,Hardback,101884,,Lending,https://covers.openlibrary.org/b/id/675965-S.jpg,101,ISBN
A Secular Humanist Declaration,A Secular Humanist Declaration,Paul Kurtz,Paul Kurtz,1980,1980,0879751495,"0879751495, 9780879751494",27,0,,No Marketing Blurb,Prometheis Books,,Humanism,Humanism,Paperback,101885,,Lending,http://books.google.com/books/content?id=1nl6AAAACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,101,ISBN
